PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,OFF FORM,OFF PLAY,PLAY DIR,DEF FRONT,COVERAGE,BLITZ,QTR,GN/LS
92,O,3,9,M,-35,Pass,Complete,IOWA BLACK,,R,,,,3,11
93,O,1,10,R,-46,Pass,Complete,Twins Split,,L,,,,3,7
94,O,2,3,L,47,Run,Rush,Wyoming brown,,L,,,,3,13
95,O,1,10,L,34,Pass,Complete,Wyoming brown,,R,,,,3,7
96,O,2,3,R,27,Run,Rush,Twins Split,,R,,,,3,-3
97,O,3,6,R,30,Pass,Incomplete,Wyoming brown,,L,,,,3,0
98,S,,,,,,,,,,,,,3,
99,O,2,14,R,19,Pass,Complete,FLA. BLUE,,L,,,,3,-3
100,O,3,17,L,22,Pass,Complete,FLA. BLUE,,R,,,,3,7
101,K,4,10,R,15,FG,No Good,,,,,,,3,
102,D,1,10,M,-20,Run,Rush,OREGON GREEN,,R,,,,3,-1
103,D,2,11,R,-19,Pass,Incomplete,,,L,,,,3,0
104,D,3,11,M,-19,Pass,Complete,FLA. BLUE,,R,,,,3,10
105,K,4,1,R,-29,Punt Rec,Downed,,,,,,,3,
106,O,1,10,M,-27,Pass,Incomplete,Wyoming brown,,L,,,,3,0
107,O,2,10,M,-27,Run,Rush,Wyoming brown,,R,,,,3,6
108,S,,,,,,,,,,,,,3,
109,O,3,4,M,-33,Run,Rush,Wyoming brown,,R,,,,4,19
110,S,,,,,,,,,,,,,4,
111,O,1,10,R,48,,Timeout,,,,,,,4,0
112,O,2,10,R,48,Run,Rush,FLA. BLUE,,L,,,,4,-2
113,O,3,12,R,50,Run,Rush,Wyoming brown,,L,,,,4,-4
114,K,4,16,L,-46,Punt,Return,DBL Slot,,,,,,4,
115,D,1,10,R,-26,Run,Rush,WISCONSIN RED,,L,,,,4,10
116,D,1,10,M,-36,Run,Rush,,,R,,,,4,8
117,S,,,,,,,,,,,,,4,
118,D,2,2,R,-44,Run,Rush,,,R,,,,4,2
119,D,1,10,R,-46,Run,Penalty,WISCONSIN RED,,L,,,,4,-6
120,D,1,16,L,-40,Run,Rush,OREGON GREEN,,R,,,,4,7
121,D,2,9,L,-47,Run,Penalty,,,R,,,,4,0
122,S,,,,,,,,,,,,,4,
123,D,2,9,M,-47,Run,Rush,FLA. BLUE,,R,,,,4,1
124,S,,,,,,,,,,,,,4,
125,D,3,8,L,-48,,Timeout,TEXAS BROWN,,,,,,4,0
126,D,3,8,L,-48,Pass,Complete,FLA. BLUE,,L,,,,4,41
127,D,1,10,L,11,Run,"Rush, TD",,,R,,,,4,11
128,K,,,M,3,Extra Pt. Block,Good,,,,,,,4,
129,K,,,R,-40,KO Rec,Return,,,,,,,4,
130,O,1,10,L,-10,Pass,Complete,FLA. BLUE,,R,,,,4,27
131,O,1,10,M,-37,Pass,Incomplete,FLA. BLUE,,R,,,,4,0
132,O,2,10,M,-37,Pass,Incomplete,IOWA BLACK,,L,,,,4,0
133,O,3,10,L,-37,Pass,Scramble,IOWA BLACK,,R,,,,4,8
134,O,4,2,R,-45,Pass,Scramble,FLA. BLUE,,R,,,,4,3
135,O,1,10,R,-48,Run,Rush,FLA. BLUE,,R,,,,4,4
136,O,2,6,R,48,Pass,Complete,IOWA BLACK,,R,,,,4,-2
137,O,3,8,R,50,Pass,Incomplete,FLA. BLUE,,L,,,,4,0
138,O,4,8,R,50,Pass,Scramble,IOWA BLACK,,R,,,,4,28
139,O,1,10,R,22,Pass,Incomplete,IOWA BLACK,,R,,,,4,0
140,O,2,10,R,22,Pass,Incomplete,FLA. BLUE,,L,,,,4,0
141,O,3,10,R,22,Pass,Complete,FLA. BLUE,,R,,,,4,-1
142,O,4,11,R,23,Run,Rush,FLA. BLUE,,L,,,,4,10
143,D,1,10,R,-13,Run,Rush,,,L,,,,4,6
144,D,2,4,M,-19,Run,Rush,,,R,,,,4,1
145,D,3,3,R,-20,Run,Rush,,,R,,,,4,-3
146,D,4,6,R,-17,Run,Rush,,,R,,,,4,40
147,D,1,10,R,43,Run,Rush,,,L,,,,4,17
148,S,,,,,,,,,,,,,4,
149,S,,,,,,,,,,,,,4,
150,D,1,10,L,26,Run,Rush,,,R,,,,4,7
151,D,2,3,R,19,Run,Penalty,,,R,,,,4,-5
152,D,2,8,R,24,Run,Rush,,,R,,,,4,2
153,S,,,,,,,,,,,,,4,
154,S,,,,,,,,,,,,,4,
155,S,,,,,,,,,,,,,4,
1,S,,,,,,,,,,,,,1,
2,S,,,,,,,,,,,,,1,
3,K,,,L,-40,KO Rec,Return,TEXAS BROWN,,,,,,1,
4,O,1,10,R,-46,Pass,Sack,,,R,,,,1,14
5,D,1,10,L,40,Run,Rush,,,R,,,,1,4
6,D,2,6,L,36,Run,Rush,Twins Split,,R,,,,1,3
7,D,3,3,M,33,Pass,"Complete, TD",WISCONSIN RED,,R,,,,1,33
8,S,,,,,,,,,,,,,1,
9,K,,,M,3,Extra Pt. Block,Good,,,,,,,1,
10,K,1,10,L,-40,KO Rec,Return,,,,,,,1,
11,O,1,10,M,-27,Run,Rush,WISCONSIN RED,,R,,,,1,11
12,O,1,10,M,-38,Run,Rush,WISCONSIN RED,,L,,,,1,5
13,O,2,5,L,-43,Run,Rush,WISCONSIN RED,,R,,,,1,2
14,O,3,3,M,-45,Run,Rush,WISCONSIN RED,,R,,,,1,-2
15,O,4,5,R,-43,Pass,Complete,WISCONSIN RED,,R,,,,1,16
16,O,1,10,R,41,Run,Rush,WISCONSIN RED,,L,,,,1,3
17,O,2,7,R,38,Run,Rush,WISCONSIN RED,,R,,,,1,1
18,S,,,,,,,IOWA BLACK,,,,,,1,
19,O,3,6,R,37,Pass,Incomplete,WISCONSIN RED,,R,,,,1,0
20,O,4,6,R,37,Pass,Complete,,,R,,,,1,23
21,S,,,,,,,,,,,,,1,
22,S,,,,,,,,,,,,,1,
23,O,1,10,R,14,Run,Rush,,,L,,,,1,6
24,S,,,,,,,,,,,,,1,
25,O,2,4,M,8,Run,Rush,WISCONSIN RED,,L,,,,1,4
26,O,3,8,L,4,Run,Rush,IOWA BLACK,,R,,,,1,3
27,S,,,,,,,,,,,,,1,
28,O,4,5,L,1,Run,Penalty,IOWA BLACK,,R,,,,1,4
29,D,1,10,M,-5,Pass,Incomplete,,,R,,,,1,0
30,D,2,10,R,-5,Run,Rush,,,R,,,,1,10
31,D,1,10,R,-15,Pass,Penalty,,,L,,,,1,10
32,D,1,10,R,-25,Pass,Incomplete,,,R,,,,1,0
33,D,2,10,R,-25,Run,Rush,,,L,,,,1,0
34,S,,,,,,,,,,,,,1,
35,S,,,,,,,,,,,,,1,
36,D,3,10,L,-25,,Timeout,FLA. BLUE,,,,,,1,0
37,S,,,,,,,,,,,,,1,
38,D,3,10,L,-25,Pass,Incomplete,FLA. BLUE,,R,,,,1,0
39,K,4,10,L,-25,Punt Rec,Fair Catch,DBL TE,,,,,,1,
40,O,1,10,R,50,Run,Rush,WISCONSIN RED,,R,,,,1,2
41,O,2,8,R,48,Run,Rush,,,R,,,,1,2
42,O,3,6,R,46,Pass,Interception,WISCONSIN RED,,L,,,,1,0
43,D,1,10,L,-37,Pass,Complete,,,R,,,,1,3
44,D,2,3,L,-40,Pass,Complete,,,R,,,,1,0
