PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,OFF FORM,OFF PLAY,PLAY DIR,DEF FRONT,COVERAGE,BLITZ,QTR,GN/LS
111,D,1,10,L,-26,Pass,Complete,IOWA BLACK,,R,,,,3,13
112,D,1,10,R,-39,Pass,Sack,IOWA BLACK,,R,,,,3,-8
113,D,2,18,R,-31,Pass,Scramble,IOWA BLACK,,R,,,,3,-10
114,D,2,28,R,-21,Pass,Complete,IOWA BLACK,,L,,,,3,21
115,S,,,,,,,,,,,,,3,
116,D,3,7,R,-42,,Penalty,TEXAS BROWN,,,,,,3,-5
117,D,3,12,R,-37,Pass,Scramble,TEXAS BROWN,,L,,,,3,0
118,D,4,12,R,-37,,Timeout,,,,,,,3,0
119,D,4,12,R,-37,Pass,Incomplete,TEXAS BROWN,,R,,,,4,0
120,O,1,10,L,37,Run,Rush,Twins Split,,L,,,,4,4
121,O,2,6,L,33,Run,Rush,Twins Split,,L,,,,4,17
122,S,,,,,,,,,,,,,4,
123,O,1,10,L,16,Run,Rush,Twins Split,,L,,,,4,0
124,O,2,10,L,16,Run,Rush,Twins Split,,R,,,,4,1
125,O,3,9,M,15,Pass,Incomplete,Twins Split,,R,,,,4,0
126,O,4,9,M,15,Pass,Sack,FLA. BLUE,,R,,,,4,-1
127,S,,,,,,,,,,,,,4,
128,D,1,10,M,-16,Run,Rush,IOWA BLACK,,L,,,,4,-1
129,D,2,11,M,-15,Run,Rush,IOWA BLACK,,R,,,,4,-10
130,D,3,21,M,-5,Run,"Rush, Safety",IOWA BLACK,,L,,,,4,-5
131,S,,,,,,,,,,,,,4,
132,K,,,M,-20,KO Rec,Return,,,,,,,4,
133,O,1,10,L,2,Run,"Rush, TD",Twins Split,,R,,,,4,2
134,K,,,M,3,Extra Pt.,Good,,,,,,,4,
135,K,,,M,30,KO,Touchback,,,,,,,4,
136,D,1,10,M,-20,Pass,Incomplete,IOWA BLACK,,R,,,,4,0
137,D,2,10,M,-20,Pass,Interception,IOWA BLACK,,R,,,,4,
138,O,1,10,M,31,Run,Rush,Twins Split,,R,,,,4,0
139,O,2,10,R,31,,Penalty,WISCONSIN RED,,,,,,4,5
140,O,2,5,R,26,Run,Penalty,Twins Split,,L,,,,4,-9
141,O,2,14,M,35,,Timeout,,,,,,,4,0
142,O,2,14,M,35,Pass,Complete,Twins Split,,R,,,,4,-15
143,O,2,10,R,50,Pass,Incomplete,,,R,,,,4,0
144,O,3,10,R,50,Pass,Incomplete,FLA. BLUE,,L,,,,4,0
145,K,4,10,R,50,Punt,Downed,,,,,,,4,
146,D,1,10,R,-8,Run,Rush,IOWA BLACK,,L,,,,4,8
147,D,2,2,L,-16,Run,Rush,IOWA BLACK,,R,,,,4,-3
148,D,3,5,M,-13,Run,Rush,IOWA BLACK,,R,,,,4,-7
149,S,,,,,,,,,,,,,4,
150,O,4,12,M,-6,Run,Safety,,,R,,,,4,-6
151,K,1,10,M,-20,KO Rec,Return,TEXAS BROWN,,,,,,4,
152,O,1,10,L,45,Run,Rush,Wyoming brown,,L,,,,4,4
153,O,2,6,L,41,Run,Rush,Wyoming brown,,L,,,,4,8
154,O,1,10,L,33,,Timeout,,,,,,,4,0
155,S,,,,,,,,,,,,,4,
1,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,
