game,opponent,total_plays,brush_plays,brush_avg_sdi,brush_median_sdi,brush_max_sdi,brush_min_sdi,brush_std_sdi,brush_avg_first_step,brush_best_first_step,brush_worst_first_step,brush_avg_recognition,brush_best_recognition,brush_avg_post_snap_dist,brush_avg_initial_velocity,brush_elite_pct,brush_above_avg_pct,brush_average_pct,brush_below_avg_pct,brush_developmental_pct,brush_unique_players,opponent_plays,opponent_avg_sdi,opponent_median_sdi,opponent_max_sdi,opponent_avg_first_step,opponent_best_first_step,opponent_avg_recognition,opponent_elite_pct,opponent_above_avg_pct,opponent_unique_players,sdi_differential,first_step_differential,defensive_plays_analyzed,opponent_avg_box_count,opponent_max_box_count,opponent_light_box_pct,opponent_stacked_box_pct,opponent_avg_defenders_on_los,opponent_avg_second_level,opponent_avg_deep_defenders,opponent_avg_edge_count,opponent_blitz_pct,opponent_primary_coverage,opponent_cover_0_pct,opponent_cover_1_pct,opponent_cover_2_pct,opponent_cover_3_pct,opponent_cover_4_pct,opponent_primary_front,opponent_3_4_pct,opponent_4_3_pct,opponent_nickel_pct,opponent_dime_pct,opponent_goal_line_pct,opponent_0_high_pct,opponent_1_high_pct,opponent_2_high_pct,opponent_robber_pct
bedford_analysis,Bedford,581,577,6114.409012131716,5090.0,9293.0,4219.0,1401.9077610931058,0.35558558558558556,0.033,3.069,0.6185454545454545,0.234,0.3172899305555556,0.001622149837133551,12.131715771230503,30.329289428076255,46.62045060658579,10.918544194107453,0,36,4,5647.25,5536.0,7001.0,2.369,2.369,0.7675,0.0,25.0,1.0,467.1590121317158,2.013414414414415,125,3.88,12,69.6,15.2,2.104,3.472,0.608,1.496,55.2,Cover 0,51.2,2.4,2.4,38.4,0.8,3-4,40.33613445378151,0.8403361344537815,0,0,23.52941176470588,51.2,30.4,3.2,10.4
brush_v_erie_analysis,Erie,1136,1135,6489.851101321586,7007.0,9555.0,4099.0,1267.9507400607356,0.4073261083743842,0.033,2.767,0.548655601659751,0.233,0.4457982378854626,-0.0003239436619718315,11.541850220264317,46.519823788546255,27.488986784140966,14.449339207048459,0,51,1,7081.0,7081.0,7081.0,0.233,0.233,0.933,0.0,100.0,1.0,-591.1488986784143,-0.1743261083743842,138,3.7971014492753623,10,76.08695652173914,13.043478260869565,4.253623188405797,1.9130434782608696,3.7318840579710146,2.818840579710145,34.78260869565217,Cover 0,33.33333333333333,0.7246376811594203,25.36231884057971,32.608695652173914,7.246376811594203,5-2 / Goal Line,16.78832116788321,0.7299270072992701,0,0,45.98540145985402,33.33333333333333,2.1739130434782608,32.608695652173914,31.15942028985507
ccc_analysis,Ccc,519,514,6262.912451361868,6092.5,9484.0,4498.0,1397.005661005602,0.3404889589905363,0.033,3.804,0.5479834710743803,0.234,0.33625486381322955,-0.0013445692883895122,13.618677042801556,35.21400778210117,41.82879377431907,9.33852140077821,0,36,5,7672.8,9066.0,9078.0,0.39199999999999996,0.033,0.6138,60.0,20.0,5.0,-1409.887548638132,0.05151104100946369,125,3.144,9,79.2,9.6,2.008,3.016,0.784,1.696,46.400000000000006,Cover 0,49.6,0.0,4.0,40.8,0.8,3-4,31.932773109243694,2.5210084033613445,0,0,17.647058823529413,49.6,32.800000000000004,4.8,8.0
euclid_analysis,Euclid,572,571,6503.0525394045535,7025.0,9400.0,4131.0,1324.767149631791,0.3309551282051282,0.033,3.437,0.6796993006993007,0.234,0.433340350877193,-0.001755501222493888,12.43432574430823,48.68651488616462,26.444833625218916,12.43432574430823,0,37,1,6034.0,6034.0,6034.0,,,0.601,0.0,0.0,1.0,469.0525394045535,,162,3.006172839506173,9,85.18518518518519,9.25925925925926,1.962962962962963,2.4753086419753085,0.7160493827160493,1.382716049382716,36.41975308641975,Cover 0,41.9753086419753,2.4691358024691357,7.4074074074074066,41.358024691358025,0.0,3-2-6,25.165562913907287,0.6622516556291391,0,0,21.192052980132452,41.9753086419753,37.65432098765432,7.4074074074074066,6.172839506172839
garfield_analysis,Garfield,420,420,6230.407142857143,6187.0,9358.0,4519.0,1285.2144675632244,0.40700920245398775,0.033,4.771,0.5285161290322581,0.234,0.4100431654676259,0.00184083044982699,8.095238095238095,40.714285714285715,37.38095238095238,13.80952380952381,0,22,0,,,,,,,,,,,,123,4.032520325203252,10,74.79674796747967,16.260162601626014,1.910569105691057,3.951219512195122,0.6585365853658537,1.4634146341463414,56.91056910569105,Cover 0,50.40650406504065,4.0650406504065035,2.4390243902439024,41.46341463414634,0.0,3-4,51.2396694214876,0.8264462809917356,0,0,23.140495867768596,50.40650406504065,40.65040650406504,2.4390243902439024,4.878048780487805
hoban_analysis,Hoban,711,708,7006.535310734464,7116.0,9585.0,4511.0,929.1363589778333,0.16402124430955994,0.033,1.267,0.4873924050632911,0.233,0.7334787535410765,0.00975249169435216,8.757062146892656,75.0,13.418079096045199,2.824858757062147,0,41,3,8214.666666666666,8140.0,9340.0,0.17800000000000002,0.067,0.4996666666666667,66.66666666666666,33.33333333333333,3.0,-1208.1313559322025,0.013978755690440076,141,2.595744680851064,13,91.48936170212765,3.546099290780142,1.3900709219858156,3.1702127659574466,2.5531914893617023,1.1914893617021276,28.368794326241137,Cover 3,28.368794326241137,0.0,12.76595744680851,56.73758865248227,0.7092198581560284,3-4,35.25179856115108,0.7194244604316548,0,0,10.79136690647482,28.368794326241137,16.312056737588655,13.47517730496454,40.42553191489361
shaker_analysis,Shaker,1096,1089,6484.089990817263,7003.0,9347.0,4024.0,1284.1574769932772,0.42560309278350517,0.033,7.367,0.5930395683453238,0.233,0.38546139705882354,-0.0013457051961823967,12.48852157943067,45.17906336088154,30.21120293847567,12.121212121212121,0,68,7,7411.142857142857,7133.0,9046.0,0.2831666666666666,0.133,0.7094285714285713,42.857142857142854,42.857142857142854,6.0,-927.0528663255936,-0.14243642611683854,172,2.9069767441860463,8,88.95348837209302,5.232558139534884,2.941860465116279,1.755813953488372,2.4767441860465116,2.0174418604651163,27.325581395348834,Cover 3,31.3953488372093,0.0,28.488372093023255,33.13953488372093,2.9069767441860463,3-2-6,20.606060606060606,1.2121212121212122,0,0,29.6969696969697,31.3953488372093,8.720930232558139,31.3953488372093,24.418604651162788
shaw_analysis,Shaw,757,756,6815.255291005291,7104.5,9351.0,4524.0,781.2831826945798,0.19489816124469592,0.033,3.767,0.6665000000000001,0.233,0.7969414893617021,0.022133233532934133,0.26455026455026454,78.96825396825396,17.195767195767196,3.571428571428571,0,4,1,9037.0,9037.0,9037.0,0.233,0.233,0.267,100.0,0.0,1.0,-2221.744708994709,0.038101838755304096,155,2.696774193548387,9,92.90322580645162,3.225806451612903,0.4838709677419355,3.761290322580645,3.838709677419355,0.6387096774193548,15.483870967741936,Cover 3,12.258064516129032,0.0,10.32258064516129,77.41935483870968,0.0,3-4,49.03225806451613,1.2903225806451613,0,0,2.5806451612903225,12.258064516129032,10.967741935483872,10.32258064516129,66.45161290322581
warrensville_full,Warrensville,469,469,6236.675906183369,6195.0,9445.0,4510.0,1323.22599895536,0.4714471299093656,0.033,9.109,0.5394186046511628,0.234,0.3645415778251599,-0.006675767918088735,9.381663113006397,39.44562899786781,40.93816631130064,10.23454157782516,0,27,0,,,,,,,,,,,,119,3.9159663865546217,10,71.42857142857143,17.647058823529413,1.915966386554622,3.73109243697479,0.8739495798319328,1.504201680672269,50.42016806722689,Cover 0,45.378151260504204,2.5210084033613445,5.88235294117647,42.857142857142854,1.680672268907563,3-4,42.73504273504273,1.7094017094017095,0,0,19.65811965811966,45.378151260504204,33.61344537815126,7.563025210084033,11.76470588235294
willoughby_analysis,Willoughby,530,529,6576.003780718336,7037.0,9823.0,4509.0,1246.0445827731874,0.2925873015873016,0.033,2.669,0.4868684210526315,0.234,0.5433333333333333,0.00046753246753246825,9.45179584120983,52.36294896030246,29.678638941398866,8.506616257088846,0,27,1,9142.0,9142.0,9142.0,0.234,0.234,0.3,100.0,0.0,1.0,-2565.996219281664,-0.058587301587301605,104,3.0,9,84.61538461538461,7.6923076923076925,1.5,3.269230769230769,0.9134615384615384,1.4038461538461537,39.42307692307692,Cover 0,47.11538461538461,0.9615384615384616,6.730769230769231,41.34615384615385,0.9615384615384616,3-4,34.65346534653465,0.9900990099009901,0,0,14.85148514851485,47.11538461538461,30.76923076923077,7.6923076923076925,11.538461538461538
