clip_file,track_id,jersey_number,player_name,team_name,inferred_position,alignment,depth_from_los,in_box,on_line,first_step_sec,first_step_grade,penetration_depth,lateral_movement,defensive_grade
End Zone - Clip 010.mp4,3023,,,DEFENSE,DL,5-tech,0.003,True,True,0.267,Above Average,0.018,,Above Average
End Zone - Clip 010.mp4,3039,,,DEFENSE,DL,5-tech,0.031,True,False,,,,,Average
End Zone - Clip 010.mp4,3050,,,DEFENSE,DL,0-tech (Nose),0.010,True,True,,,,,Average
End Zone - Clip 011.mp4,3064,,,DEFENSE,CB,Off (5-7 yards),0.111,False,False,0.100,Elite,,0.010,Elite
End Zone - Clip 011.mp4,3067,,,DEFENSE,LB,WILL (weak),0.055,True,False,0.067,Elite,,,Elite
End Zone - Clip 012.mp4,3402,,,DEFENSE,UNKNOWN,,0.152,True,False,0.067,Elite,,,Elite
End Zone - Clip 012.mp4,3670,,,DEFENSE,SLOT,Nickel/Slot,0.126,False,False,0.100,Elite,,0.049,Elite
End Zone - Clip 013.mp4,3732,,,DEFENSE,UNKNOWN,,0.164,False,False,0.033,Elite,,,Elite
End Zone - Clip 013.mp4,3733,,,DEFENSE,CB,Deep,0.191,False,False,0.033,Elite,,0.046,Elite
End Zone - Clip 013.mp4,3749,,,DEFENSE,DL,5-tech,0.020,True,True,0.067,Elite,,,Elite
End Zone - Clip 013.mp4,3763,,,DEFENSE,LB,MIKE (middle),0.034,True,False,0.033,Elite,,,Elite
End Zone - Clip 013.mp4,3802,,,DEFENSE,EDGE,OLB (up),0.036,True,False,0.467,Below Average,,,Below Average
End Zone - Clip 013.mp4,3816,,,DEFENSE,LB,WILL (weak),0.057,True,False,0.033,Elite,,,Elite
End Zone - Clip 013.mp4,3830,,,DEFENSE,LB,SAM (strong),0.057,True,False,,,,,Average
End Zone - Clip 013.mp4,3829,,,DEFENSE,EDGE,DE (down),0.005,True,True,0.133,Elite,,,Elite
End Zone - Clip 013.mp4,3847,,,DEFENSE,EDGE,DE (down),0.029,False,True,0.033,Elite,,,Elite
End Zone - Clip 014.mp4,4350,,,DEFENSE,EDGE,DE (down),0.013,True,True,0.234,Above Average,0.035,,Above Average
End Zone - Clip 014.mp4,4367,,,DEFENSE,DL,5-tech,0.009,True,True,0.167,Elite,0.016,,Elite
End Zone - Clip 015.mp4,4533,,,DEFENSE,UNKNOWN,,0.162,True,False,0.067,Elite,,,Elite
End Zone - Clip 015.mp4,4606,,,DEFENSE,SLOT,Nickel/Slot,0.059,False,False,0.067,Elite,,0.072,Elite
End Zone - Clip 015.mp4,4731,,,DEFENSE,LB,WILL (weak),0.096,True,False,0.067,Elite,,,Elite
End Zone - Clip 015.mp4,4738,,,DEFENSE,EDGE,DE (down),0.031,True,False,0.067,Elite,0.084,,Elite
End Zone - Clip 015.mp4,4753,,,DEFENSE,EDGE,DE (down),0.047,False,False,0.300,Average,0.062,,Average
End Zone - Clip 015.mp4,4773,,,DEFENSE,EDGE,DE (down),0.058,False,False,,,,,Average
End Zone - Clip 015.mp4,4770,,,DEFENSE,EDGE,DE (down),0.037,False,False,0.033,Elite,,,Elite
End Zone - Clip 015.mp4,4777,,,DEFENSE,S,Deep half,0.243,True,False,0.067,Elite,,0.089,Elite
End Zone - Clip 015.mp4,4823,,,DEFENSE,EDGE,DE (down),0.073,True,False,0.067,Elite,,,Elite
End Zone - Clip 015.mp4,4820,,,DEFENSE,LB,WILL (weak),0.099,True,False,0.067,Elite,,,Elite
End Zone - Clip 016.mp4,5054,,,DEFENSE,CB,Off (5-7 yards),0.107,False,False,0.133,Elite,,0.165,Elite
End Zone - Clip 016.mp4,5061,,,DEFENSE,DL,1-tech,0.005,True,True,0.133,Elite,,,Elite
