clip_file,track_id,jersey_number,player_name,team_name,inferred_position,alignment,depth_from_los,in_box,on_line,first_step_sec,first_step_grade,penetration_depth,lateral_movement,defensive_grade
End Zone - Clip 011.mp4,5126,,,DEFENSE,EDGE,DE (down),0.007,True,True,1.134,Developmental,,,Below Average
End Zone - Clip 011.mp4,5127,,,DEFENSE,EDGE,DE (down),0.014,False,True,0.200,Above Average,0.007,,Above Average
End Zone - Clip 011.mp4,5182,,,DEFENSE,EDGE,DE (down),0.029,False,True,0.167,Elite,,,Elite
End Zone - Clip 011.mp4,5201,,,DEFENSE,DL,5-tech,0.001,True,True,0.100,Elite,,,Elite
End Zone - Clip 011.mp4,5222,,,DEFENSE,EDGE,DE (down),0.024,False,True,0.100,Elite,,,Elite
End Zone - Clip 012.mp4,5574,,,DEFENSE,DL,0-tech (Nose),0.003,True,True,,,,,Average
End Zone - Clip 012.mp4,5585,,,DEFENSE,EDGE,DE (down),0.023,True,True,,,,,Average
End Zone - Clip 012.mp4,5643,,,DEFENSE,DL,5-tech,0.020,True,True,0.267,Above Average,0.020,,Above Average
End Zone - Clip 012.mp4,5655,,,DEFENSE,EDGE,DE (down),0.011,True,True,0.067,Elite,0.018,,Elite
End Zone - Clip 012.mp4,5722,,,DEFENSE,DL,3-tech,0.002,True,True,0.867,Developmental,,,Below Average
End Zone - Clip 012.mp4,5735,,,DEFENSE,DL,5-tech,0.005,True,True,0.100,Elite,,,Elite
End Zone - Clip 012.mp4,5763,,,DEFENSE,EDGE,DE (down),0.016,False,True,,,,,Average
End Zone - Clip 012.mp4,5766,,,DEFENSE,DL,3-tech,0.004,True,True,,,,,Average
End Zone - Clip 014.mp4,6775,,,DEFENSE,LB,MIKE (middle),0.043,True,False,0.834,Developmental,,,Below Average
End Zone - Clip 014.mp4,6776,,,DEFENSE,EDGE,DE (down),0.014,False,True,,,0.021,,Average
End Zone - Clip 014.mp4,6777,,,DEFENSE,LB,WILL (weak),0.046,True,False,0.767,Developmental,,,Below Average
End Zone - Clip 014.mp4,6774,,,DEFENSE,LB,WILL (weak),0.056,True,False,,,,,Average
End Zone - Clip 014.mp4,6779,,,DEFENSE,EDGE,DE (down),0.030,True,True,0.334,Average,,,Average
End Zone - Clip 014.mp4,6780,,,DEFENSE,LB,SAM (strong),0.060,True,False,0.667,Developmental,,,Below Average
End Zone - Clip 014.mp4,6800,,,DEFENSE,DL,5-tech,0.028,True,True,1.001,Developmental,,,Below Average
End Zone - Clip 014.mp4,6832,,,DEFENSE,EDGE,DE (down),0.003,False,True,0.200,Above Average,0.001,,Above Average
End Zone - Clip 015.mp4,6795,,,DEFENSE,DL,5-tech,0.002,True,True,,,,,Average
End Zone - Clip 015.mp4,6837,,,DEFENSE,LB,WILL (weak),0.053,True,False,0.200,Elite,,,Elite
End Zone - Clip 015.mp4,6840,,,DEFENSE,LB,SAM (strong),0.036,True,False,0.100,Elite,,,Elite
End Zone - Clip 015.mp4,6979,,,DEFENSE,LB,MIKE (middle),0.034,True,False,0.033,Elite,,,Elite
End Zone - Clip 015.mp4,7049,,,DEFENSE,EDGE,DE (down),0.028,True,True,0.100,Elite,,,Elite
End Zone - Clip 015.mp4,7062,,,DEFENSE,LB,WILL (weak),0.081,True,False,0.100,Elite,,,Elite
End Zone - Clip 016.mp4,7214,,,DEFENSE,DL,0-tech (Nose),0.026,True,True,0.033,Elite,,,Elite
End Zone - Clip 016.mp4,7244,,,DEFENSE,EDGE,DE (down),0.001,True,True,0.033,Elite,,,Elite
End Zone - Clip 016.mp4,7246,,,DEFENSE,EDGE,DE (down),0.053,False,False,0.033,Elite,,,Elite
End Zone - Clip 016.mp4,7283,,,DEFENSE,EDGE,DE (down),0.005,True,True,0.033,Elite,,,Elite
End Zone - Clip 016.mp4,7293,,,DEFENSE,DL,5-tech,0.018,True,True,0.033,Elite,,,Elite
End Zone - Clip 016.mp4,7294,,,DEFENSE,EDGE,DE (down),0.101,False,False,0.067,Elite,0.117,,Elite
End Zone - Clip 016.mp4,7305,,,DEFENSE,EDGE,DE (down),0.050,False,False,0.033,Elite,0.028,,Elite
End Zone - Clip 016.mp4,7315,,,DEFENSE,DL,1-tech,0.053,True,False,0.067,Elite,,,Elite
End Zone - Clip 016.mp4,7317,,,DEFENSE,EDGE,DE (down),0.049,False,False,,,,,Average
End Zone - Clip 017.mp4,7726,,,DEFENSE,EDGE,DE (down),0.164,False,False,0.100,Elite,,,Elite
End Zone - Clip 017.mp4,7825,,,DEFENSE,EDGE,DE (down),0.160,True,False,0.100,Elite,,,Elite
End Zone - Clip 017.mp4,7831,,,DEFENSE,EDGE,DE (down),0.167,False,False,0.100,Elite,,,Elite
End Zone - Clip 017.mp4,7911,,,DEFENSE,EDGE,DE (down),0.195,False,False,0.067,Elite,,,Elite
End Zone - Clip 018.mp4,8273,,,DEFENSE,CB,Deep,0.157,False,False,0.033,Elite,,0.012,Elite
End Zone - Clip 018.mp4,8315,,,DEFENSE,EDGE,DE (down),0.059,False,False,,,,,Average
End Zone - Clip 018.mp4,8317,,,DEFENSE,DL,0-tech (Nose),0.010,True,True,,,,,Average
End Zone - Clip 018.mp4,8366,,,DEFENSE,EDGE,DE (down),0.056,False,False,,,,,Average
End Zone - Clip 019.mp4,8703,,,DEFENSE,LB,SAM (strong),0.098,True,False,0.067,Elite,,,Elite
End Zone - Clip 019.mp4,8608,,,DEFENSE,UNKNOWN,,0.162,True,False,0.067,Elite,,,Elite
End Zone - Clip 019.mp4,8708,,,DEFENSE,S,Strong Safety,0.274,True,False,0.067,Elite,,0.022,Elite
End Zone - Clip 019.mp4,8712,,,DEFENSE,LB,MIKE (middle),0.109,True,False,0.067,Elite,,,Elite
End Zone - Clip 020.mp4,9004,,,DEFENSE,S,Free Safety (centerfield),0.225,True,False,0.267,Above Average,,0.018,Above Average
End Zone - Clip 020.mp4,9011,,,DEFENSE,LB,SAM (strong),0.052,True,False,0.467,Average,,,Average
