clip_file,track_id,jersey_number,player_name,team_name,inferred_position,alignment,depth_from_los,in_box,on_line,first_step_sec,first_step_grade,penetration_depth,lateral_movement,defensive_grade
End Zone - Clip 006.mp4,2304,,,DEFENSE,UNKNOWN,,0.155,False,False,,,,,Average
End Zone - Clip 006.mp4,2316,,,DEFENSE,EDGE,OLB (up),0.042,False,False,0.033,Elite,,,Elite
End Zone - Clip 007.mp4,2619,,,DEFENSE,LB,SAM (strong),0.031,True,False,0.300,Above Average,,,Above Average
End Zone - Clip 007.mp4,2649,,,DEFENSE,S,Strong Safety,0.364,True,False,0.434,Average,,0.041,Average
End Zone - Clip 007.mp4,2650,,,DEFENSE,S,Free Safety (centerfield),0.213,True,False,0.033,Elite,,0.233,Elite
End Zone - Clip 007.mp4,2651,,,DEFENSE,EDGE,DE (down),0.034,False,False,0.133,Elite,,,Elite
End Zone - Clip 007.mp4,2664,,,DEFENSE,EDGE,DE (down),0.014,False,True,0.033,Elite,,,Elite
End Zone - Clip 007.mp4,2722,,,DEFENSE,EDGE,DE (down),0.021,False,True,,,,,Average
End Zone - Clip 007.mp4,2726,,,DEFENSE,EDGE,DE (down),0.025,False,True,0.033,Elite,,,Elite
End Zone - Clip 007.mp4,2773,,,DEFENSE,EDGE,DE (down),0.028,False,True,0.033,Elite,,,Elite
End Zone - Clip 008.mp4,2947,,,DEFENSE,DL,1-tech,0.019,True,True,0.033,Elite,0.012,,Elite
End Zone - Clip 008.mp4,2978,,,DEFENSE,S,Strong Safety,0.385,True,False,0.067,Elite,,0.534,Elite
End Zone - Clip 008.mp4,2981,,,DEFENSE,EDGE,DE (down),0.009,False,True,0.033,Elite,,,Elite
End Zone - Clip 008.mp4,2980,,,DEFENSE,S,Strong Safety,0.219,True,False,0.067,Elite,,0.373,Elite
End Zone - Clip 008.mp4,3026,,,DEFENSE,LB,MIKE (middle),0.074,True,False,0.067,Elite,,,Elite
End Zone - Clip 009.mp4,3551,,,DEFENSE,CB,Deep,0.182,False,False,0.067,Elite,,0.051,Elite
End Zone - Clip 009.mp4,3616,,,DEFENSE,LB,MIKE (middle),0.104,True,False,0.067,Elite,,,Elite
End Zone - Clip 009.mp4,3620,,,DEFENSE,CB,Deep,0.151,False,False,0.033,Elite,,0.100,Elite
End Zone - Clip 009.mp4,3641,,,DEFENSE,S,Deep half,0.409,False,False,0.033,Elite,,0.252,Elite
End Zone - Clip 009.mp4,3676,,,DEFENSE,SLOT,Nickel/Slot,0.077,False,False,,,,0.002,Average
End Zone - Clip 010.mp4,3799,,,DEFENSE,EDGE,OLB (up),0.038,False,False,0.067,Elite,0.023,,Elite
End Zone - Clip 010.mp4,3819,,,DEFENSE,EDGE,OLB (up),0.042,True,False,0.100,Elite,0.029,,Elite
End Zone - Clip 010.mp4,3822,,,DEFENSE,LB,SAM (strong),0.054,True,False,0.100,Elite,,,Elite
End Zone - Clip 010.mp4,3823,,,DEFENSE,CB,Press,0.059,False,False,0.033,Elite,,0.058,Elite
End Zone - Clip 010.mp4,3824,,,DEFENSE,LB,WILL (weak),0.120,True,False,0.033,Elite,,,Elite
