game,total_plays,total_yards,total_tds,yards_per_play,first_downs,turnovers,fumbles,completions,attempts,passing_yards,passing_tds,interceptions,completion_pct,yards_per_attempt,sacks,sack_yards_lost,incompletes,carries,rushing_yards,rushing_tds,yards_per_carry,long_rush,left_carries,left_yards,middle_carries,middle_yards,right_carries,right_yards,def_total_plays,def_total_yards,def_total_tds,def_yards_per_play,def_first_downs,def_turnovers,def_fumbles,def_completions,def_attempts,def_passing_yards,def_passing_tds,def_interceptions,def_completion_pct,def_yards_per_attempt,def_sacks,def_sack_yards_lost,def_incompletes,def_carries,def_rushing_yards,def_rushing_tds,def_yards_per_carry,def_long_rush,def_left_carries,def_left_yards,def_middle_carries,def_middle_yards,def_right_carries,def_right_yards,first_down_plays,second_down_plays,third_down_plays,third_down_conversions,third_down_pct,fourth_down_plays,red_zone_plays,red_zone_tds,run_plays,pass_plays,run_pct,pass_pct
CCC,108,691.0,12,6.4,36,0,0,41,41,443.0,6,0,100.0,10.8,1,8.0,14,66,248.0,6,3.8,22.0,26,166.0,0,0.0,40,82.0,106,469.0,6,4.4,36,4,2,67,83,394.0,0,2,80.7,4.7,0,0.0,22,23,75.0,6,3.3,37.0,6,25.0,0,0.0,17,50.0,47,40,22,12,54.5,5,42,10,66,42,61.1,38.9
Bedford,50,182.0,2,3.6,10,1,0,19,21,79.0,0,1,90.5,3.8,1,5.0,10,28,103.0,2,3.7,80.0,10,-8.0,0,0.0,18,111.0,51,163.0,2,3.2,12,0,0,10,10,52.0,1,0,100.0,5.2,2,10.0,5,39,111.0,1,2.8,13.0,15,45.0,0,0.0,24,66.0,20,15,12,2,16.7,4,5,1,28,22,56.0,44.0
Erie,39,158.0,4,4.1,10,0,0,16,16,87.0,0,0,100.0,5.4,1,2.0,8,21,71.0,4,3.4,21.0,13,8.0,0,0.0,8,63.0,57,164.0,1,2.9,10,0,0,28,28,75.0,0,0,100.0,2.7,1,1.0,15,27,89.0,1,3.3,34.0,11,41.0,0,0.0,16,48.0,15,13,10,5,50.0,2,12,4,21,18,53.8,46.2
Shaker with Hudl asst,41,212.0,5,5.2,11,4,2,14,18,226.0,3,2,77.8,12.6,1,12.0,5,22,-14.0,2,-0.6,13.0,12,-6.0,0,0.0,10,-8.0,41,92.0,1,2.2,7,0,0,18,20,63.0,1,0,90.0,3.2,1,7.0,10,19,29.0,0,1.5,10.0,9,15.0,0,0.0,10,14.0,21,13,6,2,33.3,2,10,2,22,19,53.7,46.3
Shaw,112,409.0,8,3.7,27,3,3,32,35,159.0,2,0,91.4,4.5,2,4.0,22,69,250.0,6,3.6,31.0,40,210.0,0,0.0,29,40.0,75,-27.0,0,-0.4,6,2,0,15,19,113.0,0,2,78.9,5.9,5,31.0,6,46,-140.0,0,-3.0,19.0,23,-106.0,0,0.0,23,-34.0,51,41,26,5,19.2,5,21,6,69,43,61.6,38.4
Warrensville,49,170.0,4,3.5,14,1,1,18,19,91.0,3,0,94.7,4.8,0,0.0,9,26,79.0,1,3.0,19.0,14,40.0,0,0.0,12,39.0,50,137.0,2,2.7,11,2,0,4,7,36.0,1,2,57.1,5.1,4,32.0,2,39,101.0,1,2.6,16.0,20,65.0,0,0.0,18,38.0,19,16,13,5,38.5,4,13,4,26,23,53.1,46.9
Willoughby,28,291.0,3,10.4,10,1,0,14,16,159.0,1,1,87.5,9.9,0,0.0,7,12,132.0,2,11.0,88.0,2,78.0,0,0.0,10,54.0,52,378.0,4,7.3,21,0,0,12,13,168.0,1,0,92.3,12.9,1,9.0,4,38,210.0,3,5.5,22.0,27,142.0,0,0.0,11,68.0,12,11,6,4,66.7,0,1,1,12,16,42.9,57.1
Garfield,104,508.0,2,4.9,28,1,1,43,46,384.0,2,0,93.5,8.3,0,0.0,21,56,124.0,0,2.2,20.0,30,12.0,0,0.0,26,112.0,136,861.0,8,6.3,47,3,1,20,26,210.0,4,2,76.9,8.1,0,0.0,4,110,651.0,4,5.9,47.0,58,232.0,0,0.0,52,419.0,43,37,20,8,40.0,5,20,0,56,48,53.8,46.2
Hoban,94,203.0,2,2.2,14,0,0,29,29,43.0,1,0,100.0,1.5,1,5.0,22,59,160.0,1,2.7,29.0,31,131.0,0,0.0,28,29.0,86,596.0,12,6.9,35,4,2,24,26,94.0,4,2,92.3,3.6,2,26.0,12,57,502.0,8,8.8,65.0,26,216.0,0,0.0,31,286.0,36,32,31,8,25.8,0,6,2,59,35,62.8,37.2
Euclid,116,396.0,1,3.4,32,2,0,31,33,139.0,0,2,93.9,4.2,7,47.0,17,67,257.0,1,3.8,19.0,27,123.0,0,0.0,40,134.0,95,430.0,3,4.5,22,0,0,28,32,220.0,1,0,87.5,6.9,4,7.0,14,58,210.0,2,3.6,40.0,28,82.0,0,0.0,30,128.0,41,41,25,6,24.0,14,18,1,67,49,57.8,42.2
