DN,DIST,PLAY TYPE,RESULT,GN/LS,ODK,YARD LN,HASH,SERIES,OFF STR,OFF FORM,OFF PLAY,PLAY DIR,GAP,DEF STR,DEF FRONT,BLITZ,COVERAGE,KICK YARDS,RET YARDS,PENALTY,2 MIN,TEAM,OPP TEAM,PLAY #,QTR,PASS ZONE,PERSONNEL,MOTION,MOTION DIR,PASSER_Jersey,PASSER_Name,RECEIVER_Jersey,RECEIVER_Name,TACKLER1_Jersey,TACKLER1_Name,TACKLER2_Jersey,TACKLER2_Name,RUSHER_Jersey,RUSHER_Name,KEY PLAYER_Jersey,KEY PLAYER_Name,BACKFIELD,EFF,RETURNER_Jersey,RETURNER_Name,KICKER_Jersey,KICKER_Name,RECOVERED BY_Jersey,RECOVERED BY_Name,INTERCEPTED BY_Jersey,INTERCEPTED BY_Name,OPP RUSHER,OPP PASSER,OPP RECEIVER,OPP TACKLER1,OPP TACKLER2,OPP RETURNER,OPP KICKER,OPP RECOVERED BY,OPP INTERCEPTED BY,PROTECTION,TAG,NOTE,COMMENT,STR CALL,WK CALL,DRILL,STUNT,BALL CARRIER,STR ROUTES,WK ROUTES,TE/SE,ST/WK,OPTION,SCORE,16,FIELD / BOUNDARY,Y/N,DUG BACKFIELD,DUG FORMATION,TOO/AWAY,NEAR/FAR,RUN/PASS,FORMATION STRENGTH,FSL,SHIFT,RUN STRENGTH,PASS ROUTE,PASS CHART,PASS RESULT,SCRAMBLE,TRICK,TITLE,ROUTE,PEN YARDS,POSITIVE,CRITICISM,OFFENSIVE FORMATIONS
2,3,Run,Rush,3,O,7,M,2,R,WISCONSIN RED,,L,,,,,,,,,,,,21,1,,,,,,,,,,,,,8,Jayvyn Gilchrist,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,Run,Rush,3,O,4,L,2,BAL,IOWA BLACK,,R,,,,,,,,,,,,22,1,,,,,,,,,,,,,20,Aiden O'Neal,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,Run,Fumble,-4,O,1,L,2,R,WISCONSIN RED,,R,,,,,,,,,,,,23,1,,,,,,,,,,,,,8,Jayvyn Gilchrist,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,Pass,Incomplete,0,D,-5,M,2,L,Twins Split,,R,,,,,,,,,,,,24,1,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,Run,Rush,10,D,-5,M,2,R,Twins Split,,R,,,,,,,,,,,,25,1,,,,,,,,,,,,,,,,,,N,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,Run,Penalty,10,D,-15,R,2,L,FLA. BLUE,,L,,,,,,,,,,,,26,1,,,,R,,,,,,,,,,,,,,N,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,Pass,Incomplete,0,D,-25,R,2,L,FLA. BLUE,,R,,,,,,,,,,,,27,1,,,,L,,,,,,,,,,,,,,Y,,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,Run,Rush,0,D,-25,R,2,L,Wyoming brown,,L,,,,,,,,,,,,28,1,,,,,,,,,,,,,,,,,,Y,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10,,Timeout,0,D,-25,L,2,,,,,,,,,,,,,,,,29,1,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,S,,,,BAL,IOWA BLACK,,,,,,,,,,,,,,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
