clip_file,track_id,jersey_number,player_name,roster_position,team,team_name,jersey_color,inferred_position,recognition_latency_sec,recognition_latency_grade,first_step_sec,first_step_grade,post_snap_distance,initial_velocity,sdi_score,sdi_grade
ricky_powers_michigan.mp4,129,,,,michigan,MICHIGAN,,,,,,,0.022,,5004.0,Average
ricky_powers_michigan.mp4,132,,,,michigan,MICHIGAN,,,,,,,0.043,,5008.0,Average
ricky_powers_michigan.mp4,133,,,,michigan,MICHIGAN,,,,,,,0.050,,5009.0,Average
ricky_powers_michigan.mp4,134,,,,michigan,MICHIGAN,,,,,,,0.344,,5068.0,Average
ricky_powers_michigan.mp4,135,,,,michigan,MICHIGAN,,,,,,,,,5000.0,Average
ricky_powers_michigan.mp4,136,,,,michigan,MICHIGAN,,,,,,,0.545,,5109.0,Average
ricky_powers_michigan.mp4,139,,,,michigan,MICHIGAN,,,,,,,,,5000.0,Average
ricky_powers_michigan.mp4,147,,,,michigan,MICHIGAN,,,,,,,0.063,,5012.0,Average
ricky_powers_michigan.mp4,148,,,,michigan,MICHIGAN,,,,,,,0.255,,5050.0,Average
ricky_powers_michigan.mp4,149,,,,michigan,MICHIGAN,,,,,,,0.015,,5002.0,Average
ricky_powers_michigan.mp4,159,,,,michigan,MICHIGAN,,,,,,,0.341,,5068.0,Average
ricky_powers_michigan.mp4,160,,,,michigan,MICHIGAN,,,,,,,0.048,,5009.0,Average
ricky_powers_michigan.mp4,164,,,,michigan,MICHIGAN,,,,,,,4.490,,5898.0,Average
ricky_powers_michigan.mp4,166,,,,michigan,MICHIGAN,,,,,,,0.476,,5095.0,Average
ricky_powers_michigan.mp4,169,,,,michigan,MICHIGAN,,,,,,,0.083,,5016.0,Average
ricky_powers_michigan.mp4,171,,,,michigan,MICHIGAN,,,,,,,0.012,,5002.0,Average
ricky_powers_michigan.mp4,175,,,,michigan,MICHIGAN,,,,,,,0.113,,5022.0,Average
ricky_powers_michigan.mp4,179,,,,michigan,MICHIGAN,,,,,,,0.277,,5055.0,Average
ricky_powers_michigan.mp4,192,,,,michigan,MICHIGAN,,,,,,,0.037,,5007.0,Average
ricky_powers_michigan.mp4,193,,,,michigan,MICHIGAN,,,,,,,0.966,,5193.0,Average
ricky_powers_michigan.mp4,202,,,,michigan,MICHIGAN,,,,,,,0.129,,5025.0,Average
ricky_powers_michigan.mp4,203,,,,michigan,MICHIGAN,,,,,,,0.378,,5075.0,Average
ricky_powers_michigan.mp4,204,,,,michigan,MICHIGAN,,,,,,,0.400,,5079.0,Average
ricky_powers_michigan.mp4,206,,,,michigan,MICHIGAN,,,,,,,0.749,,5149.0,Average
ricky_powers_michigan.mp4,208,,,,michigan,MICHIGAN,,,,,,,0.144,,5028.0,Average
ricky_powers_michigan.mp4,209,,,,michigan,MICHIGAN,,,,,,,0.301,,5060.0,Average
ricky_powers_michigan.mp4,210,,,,michigan,MICHIGAN,,,,,,,,,5000.0,Average
ricky_powers_michigan.mp4,211,,,,michigan,MICHIGAN,,,,,,,0.072,,5014.0,Average
ricky_powers_michigan.mp4,212,,,,michigan,MICHIGAN,,,,,,,0.012,,5002.0,Average
ricky_powers_michigan.mp4,213,,,,michigan,MICHIGAN,,,,,,,,,5000.0,Average
ricky_powers_michigan.mp4,215,,,,michigan,MICHIGAN,,,,,,,0.001,,5000.0,Average
ricky_powers_michigan.mp4,219,,,,michigan,MICHIGAN,,,,,,,0.099,,5019.0,Average
ricky_powers_michigan.mp4,224,,,,michigan,MICHIGAN,,,,,,,0.069,,5013.0,Average
ricky_powers_michigan.mp4,232,,,,michigan,MICHIGAN,,,,,,,0.760,,5151.0,Average
ricky_powers_michigan.mp4,233,,,,michigan,MICHIGAN,,,,,,,0.152,,5030.0,Average
ricky_powers_michigan.mp4,235,,,,michigan,MICHIGAN,,,,,,,0.154,,5030.0,Average
ricky_powers_michigan.mp4,236,,,,michigan,MICHIGAN,,,,,,,0.184,,5036.0,Average
ricky_powers_michigan.mp4,237,,,,michigan,MICHIGAN,,,,,,,4.587,,5917.0,Average
ricky_powers_michigan.mp4,238,,,,michigan,MICHIGAN,,,,,,,0.131,,5026.0,Average
ricky_powers_michigan.mp4,240,,,,michigan,MICHIGAN,,,,,,,0.056,,5011.0,Average
ricky_powers_michigan.mp4,241,,,,michigan,MICHIGAN,,,,,,,0.961,,5192.0,Average
ricky_powers_michigan.mp4,242,,,,michigan,MICHIGAN,,,,,,,0.000,,5000.0,Average
ricky_powers_michigan.mp4,245,,,,michigan,MICHIGAN,,,,,,,0.036,,5007.0,Average
ricky_powers_michigan.mp4,247,,,,michigan,MICHIGAN,,,,,,,0.145,,5029.0,Average
